"assay_id","n_compounds","dataset_role","document_id","year","assay_summary","source_id"
"CHEMBL5735476","275","primary","CHEMBL5727829","2020","FLIPR/CHO; cinnamaldehyde; ChEMBL EC50","S01"
"CHEMBL5733104","244","primary","CHEMBL5726658","2019","Whole-cell electrophysiology; EPC-9/EPC-10","S02"
"CHEMBL5737786","181","primary","CHEMBL5728946","2022","FLIPR/CHO; cinnamaldehyde; ChEMBL EC80; 20 min","S03"
"CHEMBL5735477","169","primary","CHEMBL5727829","2020","FLIPR/CHO; cinnamaldehyde; paired assay","S01"
"CHEMBL5735475","150","primary","CHEMBL5727828","2020","FLIPR/CHO; cinnamaldehyde; EC80","S04"
"CHEMBL5735474","131","primary","CHEMBL5727828","2020","FLIPR/CHO; cinnamaldehyde; EC80","S04"
"CHEMBL5736402","108","primary","CHEMBL5728262","2021","FLIPR/CHO; cinnamaldehyde; 20 min","S05"
"CHEMBL3887573","97","sensitivity","CHEMBL3886359","2015","Radiometric 45Ca assay; CHO; AITC","S06"
"CHEMBL5734964","51","primary","CHEMBL5727588","2020","293T; Calcium 4/FDSS7000; AITC","S07"
"CHEMBL5735742","33","primary","CHEMBL5727953","2020","FLIPR/CHO; cinnamaldehyde","S10"
"CHEMBL5318377","33","primary","CHEMBL5316309","2023","CHO-K1 hTRPA1 GCaMP6; FLIPR","S08"
"CHEMBL3299551","33","primary","CHEMBL3297713","2014","CHO-TREX; cinnamaldehyde; FLIPR","S09"
"CHEMBL2071976","28","primary","CHEMBL2069204","2012","Ca2+-activated calcium flux","S11"
"CHEMBL3789590","28","primary","CHEMBL3784976","2016","AITC; Fluo-4; FLIPR; CHO","S12"
"CHEMBL2071975","27","primary","CHEMBL2069204","2012","Zn2+-activated calcium flux","S11"
"CHEMBL4036813","23","primary","CHEMBL4033760","2017","PatchXpress electrophysiology","S14"
"CHEMBL5739043","23","sensitivity","CHEMBL5729590","2023","Calcium 6; FLIPR; AITC","S13"
"CHEMBL3300585","22","primary","CHEMBL3297644","2014","HEK293-T-REx; Fluo-4 NW","S16"
"CHEMBL5737489","22","sensitivity","CHEMBL5728802","2021","Calcium 6; FLIPR; AITC","S15"
"CHEMBL1944172","21","primary","CHEMBL1938315","2012","HEK293; dibenzazepine ester; fluorometry","S17"
"CHEMBL4049011","20","primary","CHEMBL4043298","2018","HEK293; cinnamaldehyde; FLIPR; 20 min in ChEMBL","S18"
"CHEMBL4190659","19","primary","CHEMBL4190175","2016","Full-length human TRPA1; PatchXpress","S19"
"CHEMBL3888736","18","sensitivity","CHEMBL3886811","2016","FLIPR dose-response; cinnamaldehyde","S20"
"CHEMBL5739380","18","sensitivity","CHEMBL5729732","2023","Calcium 6; FLIPR; AITC 10 uM in ChEMBL","S21"
"CHEMBL3364861","17","primary","CHEMBL3352245","2014","HEK293-T-REx; Fluo-4 NW","S22"
"CHEMBL3222891","15","primary","CHEMBL3217709","2012","TRPA1 antagonist assay; sparse context","S23"
"CHEMBL3706106","15","sensitivity","CHEMBL3639113","2015","FLIPR calcium assay; AITC","S24"
"CHEMBL1949457","14","primary","CHEMBL1944607","2012","Human IMR90; acrolein calcium response","S25"
"CHEMBL3757221","13","primary","CHEMBL3751794","2016","Human TRPA1 inhibition; sparse context","S26"
"CHEMBL4347276","12","primary","CHEMBL4346663","2019","HEK293; cinnamaldehyde; Fluo-4 AM","S27"
"CHEMBL3888572","12","sensitivity","CHEMBL3886764","2016","FLIPR dose-response; cinnamaldehyde","S28"
"CHEMBL5577374","12","primary","CHEMBL5576088","2024","HEK293; AITC 5 uM; Fluo-4 AM","S29"
"CHEMBL5318380","11","primary","CHEMBL5316309","2023","Human wild-type TRPA1; CHO-K1; GCaMP6","S08"
"CHEMBL5360087","11","primary","CHEMBL5357058","2024","HEK293; AITC; FLIPR; ChEMBL 5 min","S30"
"CHEMBL5731467","10","primary","CHEMBL5725783","2017","CHO/FDSS fluorescence; cinnamaldehyde","S31"
"CHEMBL3363074","10","primary","CHEMBL3352604","2014","AITC-induced 45Ca uptake","S32"
"CHEMBL4837096","10","primary","CHEMBL4834489","2021","HEK293T; AITC; FLIPR","S33"
"CHEMBL1118499","9","primary","CHEMBL1155439","2010","AITC-induced intracellular calcium influx","S34"
"CHEMBL3858029","8","primary","CHEMBL3856226","2016","Manual patch clamp; cinnamaldehyde","S35"
