model,validation,metric,mean,sd,min,max
RF + Morgan-2048,scaffold,RMSE,0.6223955012922141,0.002107276613292111,0.6205654430582787,0.6246993356043881
RF + Morgan-2048,scaffold,MAE,0.47087112870191244,0.000980417548310466,0.4697391654280537,0.4714517024261284
RF + Morgan-2048,scaffold,R2,0.5720653337858773,0.002899310567049614,0.5688947133018327,0.5745814372776726
RF + Morgan-2048,scaffold,Spearman,0.7233415677226271,0.0015682373191664085,0.721532703215728,0.7243193156359792
XGB + Morgan-2048,scaffold,RMSE,0.6262429028950279,0.0012982324339202815,0.6248932573178145,0.6274827478640964
XGB + Morgan-2048,scaffold,MAE,0.4742791109713136,0.005098974819586056,0.4692093580993838,0.47940681377515243
XGB + Morgan-2048,scaffold,R2,0.5667604070903038,0.001796014745057776,0.5650444867747099,0.568627020839461
XGB + Morgan-2048,scaffold,Spearman,0.7269605463316057,0.006897980754112438,0.7199639172561741,0.7337554537573993
RF + Morgan-2048,random,RMSE,0.5708359307639509,0.003867961123203089,0.5677680951591456,0.5751809714340039
RF + Morgan-2048,random,MAE,0.4207387149333836,0.002118744751630227,0.4185037873243945,0.42271809709798797
RF + Morgan-2048,random,R2,0.6400210076870291,0.004885554186309923,0.634531222502063,0.6438907707940893
RF + Morgan-2048,random,Spearman,0.7812019449335539,0.003377247812663304,0.7787931832330676,0.7850623007631299
XGB + Morgan-2048,random,RMSE,0.5723834860483182,0.0018378155009078636,0.5709297389351355,0.5744492137095685
XGB + Morgan-2048,random,MAE,0.4239252963814934,0.002078452406267721,0.42157967245687467,0.4255379954978688
XGB + Morgan-2048,random,R2,0.6380751224589803,0.002325786608156666,0.6354605456062463,0.6399137057729019
XGB + Morgan-2048,random,Spearman,0.7819220714668678,0.004783321425881939,0.7777832767183228,0.7871589516564628
